,age,friends-introduced,perry,poverty,parents,church-introduced,let-introduced,month,dinner,english,world,spelling,photosynthesis,newslettering,copy-error,sara,status,motivation,lettice,minestrone,jerome,spelling-relief,barrons,housework,legend,warned,hyalithe,psitta,cyan,latin-study,art-words,collage-ready,william-intervention,william,not-talking,barron-crisis,cosmetics-studied,highest-win,isspanish,bookstore,child-led,jerome-texted,doll,lettice-monster,topeng-defined,previous-missed,lessons,isindonesian,afrikaans,visiting,gerbil-studied,epilogued,hairdresser,wednesday-done,materials-studied,tyler,barrons-card,lectern,hawaiian,birthdaying,ishungarian,threats-useless,aquarium,greekletters,isgreek,coupons-offered,pedagogue,format-change,assessments,genius,projects
053,14.0,1.0,2.0,11.0,5.0,1.0,1.0,29.0,1.0,4.0,26.0,24.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,7.0,56.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
012,13.0,1.0,2.0,11.0,4.0,1.0,1.0,29.0,1.0,3.0,34.0,40.0,,2.0,1.0,1.0,0.0,2.0,-2.0,1.0,1.0,35.0,6.0,1.0,1.0,,0.0,0.0,0.0,1.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,3.0,,,1.0,50.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
039,10.0,1.0,9.0,7.0,1.0,1.0,1.0,27.0,1.0,4.0,1.0,49.0,,2.0,1.0,2.0,15.0,1.0,-2.0,1.0,5.0,7.0,6.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,3.0,1.0,4.0,,1.0,2.0,,1.0,,,2.0,,,,1.0,1.0,1.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
092,8.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,,1.0,2.0,2.0,,,,,1.0,2.0,13.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
018,14.0,1.0,8.0,4.0,7.0,1.0,1.0,27.0,1.0,4.0,8.0,75.0,1.0,2.0,1.0,2.0,12.0,2.0,-3.0,,7.0,33.0,5.0,1.0,2.0,,,,,2.0,4.0,1.0,1.0,1.0,,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,50.0,2.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,,
037,11.0,1.0,1.0,5.0,1.0,1.0,1.0,27.0,1.0,4.0,15.0,45.0,,2.0,1.0,2.0,6.0,2.0,4.0,1.0,6.0,20.0,5.0,1.0,1.0,1.0,,,,2.0,3.0,,,1.0,,3.0,1.0,4.0,,1.0,2.0,2.0,,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,
023,9.0,1.0,2.0,,12.0,1.0,1.0,30.0,1.0,3.0,4.0,17.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,,6.0,3.0,1.0,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,50.0,,,,,,,,,,,,,1.0,,,,,
040,9.0,1.0,2.0,11.0,-1.0,1.0,1.0,29.0,1.0,4.0,4.0,21.0,1.0,-1.0,1.0,2.0,5.0,0.0,3.0,,3.0,7.0,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,2.0,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,1.0,,,,
027,12.0,1.0,1.0,11.0,2.0,1.0,1.0,29.0,1.0,4.0,16.0,29.0,,4.0,,2.0,4.0,2.0,-1.0,,2.0,46.0,5.0,1.0,2.0,,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,1.0,50.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,2.0,,,
041,10.0,1.0,2.0,11.0,7.0,1.0,1.0,29.0,1.0,3.0,2.0,22.0,,2.0,1.0,1.0,4.0,2.0,0.0,,3.0,7.0,,,0.0,,,,,,,,,,,,1.0,1.0,,,2.0,,1.0,,,2.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,
