,age,friends-introduced,perry,world,status,let-introduced,lettice,church-introduced,parents,month,barrons,dinner,poverty,motivation,legend,jerome,spelling-relief,housework,spelling,hairdresser,photosynthesis,william-intervention,william,afrikaans,lettice-monster,child-led,genius,warned,zulu,barron-crisis,art-words,previous-missed,hyalithe,psitta,cyan,english,epilogued,lectern,aquarium,hawaiian,newslettering,italian,highest-win,sara,doll,aboriginal,copy-error,birthdaying,lessons,visiting,tyler,wednesday-done,bookstore,minestrone,materials-studied,collage-ready,coupons-offered,projects,isgreek,cosmetics-studied,latin-study,gerbil-studied,ishungarian,pedagogue,not-talking,greekletters,assessments,threats-useless,format-change,isspanish,barrons-card,jerome-texted,isindonesian,topeng-defined
053,9.0,1.0,3.0,3.0,5.0,1.0,2.0,1.0,9.0,30.0,3.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,22.0,45.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,10.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,2.0,27.0,5.0,1.0,4.0,2.0,,4.0,9.0,1.0,46.0,45.0,1.0,,1.0,1.0,1.0,,,,1.0,3.0,3.0,2.0,,,,4.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
039,11.0,1.0,6.0,3.0,6.0,1.0,2.0,1.0,1.0,31.0,4.0,1.0,4.0,2.0,1.0,5.0,9.0,1.0,43.0,3.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,3.0,1.0,,0.0,0.0,0.0,4.0,1.0,,,,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,
092,9.0,1.0,1.0,4.0,4.0,1.0,-1.0,1.0,12.0,30.0,1.0,1.0,,2.0,1.0,4.0,9.0,,22.0,,1.0,1.0,1.0,2.0,,2.0,,,,,,1.0,,,,1.0,1.0,,,1.0,2.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
018,11.0,1.0,1.0,5.0,5.0,1.0,-1.0,1.0,4.0,31.0,4.0,1.0,4.0,2.0,,1.0,10.0,1.0,35.0,4.0,,1.0,1.0,3.0,1.0,,,1.0,,1.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,,1.0,-1.0,,3.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
037,10.0,1.0,1.0,4.0,10.0,1.0,12.0,1.0,3.0,26.0,2.0,1.0,3.0,0.0,2.0,5.0,8.0,1.0,37.0,,,,,3.0,1.0,2.0,1.0,,1.0,,,1.0,,,,4.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,
023,9.0,1.0,4.0,3.0,9.0,1.0,10.0,1.0,2.0,26.0,,1.0,3.0,2.0,1.0,2.0,4.0,,19.0,,1.0,,,,,2.0,,1.0,,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
040,9.0,1.0,3.0,3.0,3.0,1.0,12.0,1.0,2.0,26.0,2.0,1.0,4.0,1.0,,3.0,7.0,1.0,25.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,3.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,
027,11.0,1.0,7.0,3.0,-2.0,1.0,-3.0,1.0,1.0,31.0,4.0,1.0,4.0,1.0,1.0,3.0,10.0,1.0,47.0,50.0,1.0,,,3.0,1.0,2.0,,,1.0,,,2.0,,,,4.0,1.0,,,1.0,2.0,2.0,3.0,2.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,2.0,1.0,,,,1.0,,,,1.0,,,,
041,11.0,1.0,6.0,4.0,10.0,1.0,5.0,1.0,0.0,31.0,5.0,1.0,6.0,2.0,1.0,5.0,9.0,1.0,39.0,50.0,1.0,1.0,1.0,1.0,,2.0,,,,3.0,4.0,2.0,,,,3.0,1.0,,,,2.0,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
