,age,let-introduced,lettice,church-introduced,spelling-relief,friends-introduced,perry,parents,status,month,jerome,spelling,english,barrons,world,latin-study,hairdresser,barron-crisis,housework,poverty,child-led,projects,assessments,motivation,william,tyler,highest-win,previous-missed,dinner,newslettering,pedagogue,gerbil-studied,doll,visiting,sara,lessons,birthdaying,lettice-monster,bookstore,topeng-defined,barrons-card,greekletters,threats-useless,epilogued,minestrone,photosynthesis,william-intervention,warned,cyan,hyalithe,psitta,not-talking,materials-studied,copy-error,cosmetics-studied,wednesday-done,lectern,art-words,isgreek,isindonesian,isspanish,ishungarian,genius,jerome-texted,hawaiian,format-change,collage-ready,coupons-offered
053_data.txt,11.0,1.0,13.0,1.0,16.0,1.0,3.0,5.0,5.0,26.0,6.0,43.0,4.0,6.0,2.0,2.0,45.0,3.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
012_data.txt,10.0,1.0,-2.0,1.0,8.0,1.0,1.0,4.0,8.0,27.0,4.0,36.0,3.0,4.0,5.0,2.0,,3.0,1.0,2.0,2.0,,,2.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
039_data.txt,11.0,1.0,1.0,1.0,14.0,1.0,2.0,4.0,5.0,27.0,2.0,48.0,3.0,5.0,7.0,1.0,,3.0,1.0,6.0,2.0,,,0.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,,,,,,,,
092_data.txt,11.0,1.0,1.0,1.0,13.0,1.0,4.0,3.0,3.0,27.0,6.0,56.0,4.0,5.0,3.0,1.0,50.0,3.0,1.0,14.0,2.0,,,0.0,1.0,,4.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,,,,,,
018_data.txt,10.0,1.0,-1.0,1.0,12.0,1.0,2.0,2.0,8.0,27.0,2.0,41.0,4.0,5.0,5.0,1.0,45.0,3.0,1.0,4.0,2.0,1.0,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,
037_data.txt,11.0,1.0,-7.0,1.0,12.0,1.0,1.0,5.0,6.0,27.0,3.0,57.0,4.0,6.0,3.0,2.0,45.0,3.0,1.0,5.0,2.0,,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,,1.0,,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,2.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,,,
023_data.txt,11.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,9.0,27.0,8.0,53.0,4.0,5.0,5.0,1.0,50.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,
040_data.txt,12.0,1.0,-8.0,1.0,18.0,1.0,2.0,-1.0,10.0,29.0,4.0,60.0,4.0,7.0,3.0,2.0,4.0,3.0,1.0,15.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,2.0,,1.0,,,,,1.0,1.0,,
027_data.txt,11.0,1.0,14.0,1.0,11.0,1.0,2.0,3.0,8.0,27.0,4.0,39.0,4.0,5.0,3.0,2.0,30.0,3.0,1.0,5.0,2.0,,,2.0,1.0,1.0,4.0,2.0,1.0,-1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,0.0,0.0,0.0,,1.0,,,2.0,,2.0,,,,,,,,1.0,,
041_data.txt,10.0,1.0,-2.0,1.0,6.0,1.0,2.0,2.0,5.0,29.0,4.0,24.0,4.0,7.0,2.0,1.0,50.0,3.0,1.0,12.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,
