,Lettice,Church,The Co-op,Dinner Service,Sunday Afternoon,The Legend of Public School,Seeking Inspiration,The Family with All the Stuff,It's All Happening At the Zoo,Invitation to the Salon,Arabic Loan Words,Lettice's Aquarium,Mirrors,German Loan Words,Previously Missed Words,Handwashing,Isolation,Afrikaans Loan Words,Ash Wednesday,The Doll,Was It This Way For the Desert Fathers?,Easter,The House of Mildew,Mrs. Barron Commands,Year-end Competition,J E R O M E,Jam,Worldly Cinema,Italian Loan Words,Clipping Coupons,Heard Rather Than Seen,Halloween,That Other Question,Crisis,Daydream of Winning,Advent,Consultation,Latin Root Studies,Snow Shoveling,Dinner for Tyler Barron,Middle School English,French Art Words,That Question,Birthday Candles,Lessons from Sara,Choosing the Year's Curriculum,Hawaiian Loan Words,Zulu Loan Words,The Homeschooling Newsletter,Aboriginal Loan Words,Exercises in Reading Between the Lines,Lessons for Lettice,At the Copy Shop,Return to the House of Mildew,Lawn Mowing,Ironing,At the Bookstore,Snow Day,Lent,Greek Root Studies,Epilogue,Spelling Practice,Mr. Barron Intervenes,Moodiness,Overheard,Mother's Temporary Work,Pentecost,Mrs. Perry Gossips,Contributions to Father's Newsletter,Proofreading,A Confrontation About Practice,Bowing Out of the Newsletter,Minding Lettice,Sibling Rivalry,Lettice Revolts,A Call to Arms,The State Fair,Orange and Purple Christmas,Performance Practice,Reflections,Mother and the Haircut,Discipline,Running Away,Church Jumble Sale
050_output.txt,1.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
022_output.txt,1.0,1.0,1.0,1.0,4.0,2.0,,1.0,,1.0,11.0,1.0,1.0,2.0,2.0,,2.0,4.0,3.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,
083_output.txt,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,,3.0,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,2.0,,1.0,,,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
076_output.txt,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,2.0,1.0,5.0,1.0,,1.0,2.0,1.0,9.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,,8.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
055_output.txt,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,,4.0,,,1.0,1.0,1.0,6.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,2.0,1.0,2.0,1.0,,,,,1.0,,,,,4.0,2.0,1.0,,,,,,,,,
093_output.txt,1.0,1.0,1.0,1.0,7.0,,1.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,,,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,2.0,1.0,4.0,,,1.0,1.0,4.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,,3.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,
082_output.txt,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,2.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,,2.0,,1.0,,5.0,7.0,1.0,,,,1.0,,,,,
092_output.txt,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,7.0,,,1.0,2.0,1.0,,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,,,9.0,,2.0,1.0,,1.0,,1.0,,,,1.0,,,,,,,,
008_output.txt,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,4.0,3.0,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,2.0,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,2.0,,,1.0,,,,1.0,4.0,1.0,,1.0,,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,
073_output.txt,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,1.0,,4.0,,,1.0,2.0,,,3.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,,2.0,,,,,3.0,,,1.0,1.0,,1.0,1.0,4.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,2.0,3.0,1.0,2.0,,,,,,,,
